CODE,LĨNH VỰC/ VỊ TRÍ,CÂU HỎI,ĐÁP ÁN,GHI CHÚ,NGƯỜI GỬI,NGUỒN,LINK ẢNH/ VIDEO,LINK ÂM THANH
KD1-1,Địa lí,Thủ đô của Pháp là gì?,Paris,,,,,
KD1-2,Lịch sử,Năm nào Việt Nam độc lập?,1945,,,,,
KD1-3,Khoa học,Công thức của nước là gì?,H₂O,,,,,
KD1-4,Văn học,"Tác giả của ""Truyện Kiều"" là ai?",Nguyễn Du,,,,,
KD1-5,Toán học,2 + 2 = ?,4,,,,,
KD2-1,Tiếng Anh,Good morning nghĩa là gì?,Chào buổi sáng,,,,,
KD2-2,Sinh học,Động vật nào là vua của rừng?,Sư tử,,,,,
KD2-3,Địa lí,Sông nào là dài nhất thế giới?,Sông Nile,,,,,
KD2-4,Thể thao,Môn thể thao nào được tổ chức tại Wimbledon?,Tennis,,,,,
KD2-5,Khoa học,Hành tinh nào gần Mặt trời nhất?,Sao Thủy,,,,,
KD3-1,Lịch sử,Chiến tranh Thế giới thứ 2 kết thúc năm nào?,1945,,,,,
KD3-2,Văn hóa,Quốc kỳ Nhật Bản có hình gì?,Hình tròn đỏ (Mặt trời),,,,,
KD3-3,Khoa học,Tốc độ ánh sáng là bao nhiêu?,300.000 km/s,,,,,
KD3-4,Toán học,Diện tích hình tròn có công thức là gì?,πr²,,,,,
KD3-5,Âm nhạc,Nhạc sĩ Beethoven đến từ nước nào?,Đức,,,,,
KD4-1,Địa lí,Tây Ban Nha nằm ở châu lục nào?,Châu Âu,,,,,
KD4-2,Kinh tế,Tiền tệ của Nhật Bản tên là gì?,Yên,,,,,
KD4-3,Khoa học,Nguyên tố hóa học có ký hiệu Au là gì?,Vàng,,,,,
KD4-4,Văn học,Romeo và Juliet được viết bởi ai?,William Shakespeare,,,,,
KD4-5,Sinh học,Cơ thể con người có bao nhiêu xương?,206,,,,,
DKA-1,Địa lí,Thủ đô của Brazil là gì?,Brasília,,,,,
DKA-2,Lịch sử,Ai là vị vua đầu tiên của nước Anh?,William the Conqueror,,,,,
DKA-3,Khoa học,Hệ Mặt trời có bao nhiêu hành tinh?,8,,,,,
DKA-4,Văn học,1984 được viết bởi ai?,George Orwell,,,,,
DKA-5,Toán học,Căn bậc hai của 144 là bao nhiêu?,12,,,,,
DKA-6,Sinh học,Cây xanh hấp thụ chất gì từ không khí?,CO₂,,,,,
DKA-7,Tiếng Anh,Beautiful theo tiếng Việt là gì?,Xinh đẹp,,,,,
DKA-8,Âm nhạc,Mozart sinh năm nào?,1756,,,,,
DKA-9,Thể thao,World Cup bóng đá diễn ra mấy năm một lần?,4 năm,,,,,
DKA-10,Văn hóa,Lễ Tết Nguyên Đán được gọi là gì ở Trung Quốc?,Xuân Tiết,,,,,
VCNV-1,Hàng 1,Một loài vật có vú biết bay hoạt động vào ban đêm,Dơi,3 chữ,,,,
VCNV-2,Hàng 2,Một đảo quốc ở Đông Nam Á nổi tiếng với công nghệ cao,Singapore, 9 chữ,,,,
VCNV-3,Hàng 3,Tác phẩm nghệ thuật nổi tiếng được vẽ bởi Leonardo da Vinci,Mona Lisa, 8 chữ,,,,
VCNV-4,Hàng 4,Quá trình quang hợp của cây sản sinh ra chất gì?,Oxy, 3 chữ,,,,
VCNV-OTT,Ô trung tâm,Khối không gian bị giới hạn bởi 6 mặt hình vuông,Hình lập phương, 13 chữ,,,,
CNV,Chướng ngại vật,...,TBD,3 chữ,,,edusync-banner.jpg,
TT1,Nhìn - Đáp,Nhìn hình ảnh và xác định nó là cái gì|Tòa nhà,Tòa nhà,20 giây,,,test.mp4,
TT2,Sắp xếp - Lựa chọn,Sắp xếp các hình ảnh theo thứ tự hoặc chọn hình khác biệt|Lựa chọn A,Lựa chọn A,20 giây,,,test.mp4,
TT3,IQ,"Tìm dãy số tiếp theo: 2, 4, 6, 8, ?",10,30 giây,,,edusync-banner.jpg,
TT4,Dữ kiện,Dựa trên hình ảnh/video đoán đây là ai/cái gì|Ứng dụng XYZ,Ứng dụng XYZ,30 giây,,,test.mp4,
VD-20.1,Đọc trực tiếp (20 điểm),"Nước nào được gọi là ""đất nước ngàn hoa""?",Việt Nam,Đọc - 20 điểm - Câu 1,,,,
VD-20.2,Video (20 điểm),Xem video: Nhân vật nào nói câu nói này?,TBD,Video - 20 điểm - Câu 1,,,test.mp4,
VD-20.3,Đọc trực tiếp (20 điểm),Thủ đô của Canada là gì?,Ottawa,Đọc - 20 điểm - Câu 2,,,,
VD-20.4,Video (20 điểm),Xem video: Sinh vật nào xuất hiện đầu tiên?,TBD,Video - 20 điểm - Câu 2,,,test.mp4,
VD-20.5,Đọc trực tiếp (20 điểm),Sáu châu lục được gọi là gì?,Lục địa,Đọc - 20 điểm - Câu 3,,,,
VD-30.1,Đọc trực tiếp (30 điểm),"Tác phẩm ""Cô Dâu 8 Điểm"" của ai?",Ngô Hoàng,Đọc - 30 điểm - Câu 1,,,,
VD-30.2,Video (30 điểm),Xem video: Sự kiện lịch sử nào được miêu tả?,TBD,Video - 30 điểm - Câu 1,,,test.mp4,
VD-30.3,Đọc trực tiếp (30 điểm),"Nhạc sĩ nào viết ""Clair de lune""?",Claude Debussy,Đọc - 30 điểm - Câu 2,,,,
VD-30.4,Video (30 điểm),Xem video: Công trình kiến trúc nào được giới thiệu?,TBD,Video - 30 điểm - Câu 2,,,test.mp4,
VD-30.5,Đọc trực tiếp (30 điểm),"Ai là tác giả ""Nhân Văn Tuyên Ngôn""?",Thomas Jefferson,Đọc - 30 điểm - Câu 3,,,,test.mp3
VD-30.6,Thực hành (30 điểm),Quan sát hình vẽ và thực hiện: Nguyên tắc vật lý nào được áp dụng?,TBD,Thực hành - 30 điểm,,,edusync-banner.jpg,
CHP-1,Kinh tế,Đơn vị tiền tệ của Thụy Sĩ là gì?,Franc,Câu hỏi phụ 1,,,,
CHP-2,Khoa học,Vitamin C được tìm thấy nhiều nhất trong loại trái cây nào?,Cam/Quýt,Câu hỏi phụ 2,,,,
CHP-3,Lịch sử,Quốc hiệp Việt-Lào ký kết năm nào?,1977,Câu hỏi phụ 3,,,,
